Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
02/16/2022,Race_eth_NHNHOPI,"594,959",0.3,0.2,"533,632",64.1,57.5,0.3,0.2,40.7,0.3,0.3,0.4,"206,970","7,562"
02/16/2022,Race_eth_NHAIAN,"1,714,339",0.9,0.7,"1,413,993",70.4,58.1,0.9,0.7,41.7,0.7,0.8,0.9,"560,967","15,281"
02/16/2022,Ages_<5yrs,"35,379",0,0,"9,425",0.2,0,0,0,0,0,0,0,0,0
02/16/2022,Race_eth_known,"187,592,226",99.9,74.3,"166,272,806",,,99.9,77.6,51.4,99.9,99.9,99.9,"82,358,944","1,728,503"
02/16/2022,Ages_50-64_yrs,"58,501,057",23.2,23.2,"50,853,507",91.9,79.9,23.7,23.7,49.8,27.5,24.5,24.5,"25,347,404","470,918"
02/16/2022,Ages_5-11_yrs,"9,218,594",3.7,3.7,"7,022,043",32.1,24.4,3.3,3.3,0,0,0,0,0,0
02/16/2022,Ages_12-15_yrs,"11,037,684",4.4,4.4,"9,341,556",65.3,55.2,4.4,4.4,16.8,1.7,4.5,9.1,"1,572,610","175,712"
02/16/2022,Ages_18-24_yrs,"23,242,794",9.2,9.2,"18,816,262",76,61.5,8.8,8.8,27.9,5.7,9.1,10.1,"5,257,807","194,831"
02/16/2022,Ages_12-17_yrs,"16,974,658",6.7,6.7,"14,418,419",67.1,57,6.7,6.7,19.8,3.1,7,12.9,"2,849,895","248,990"
02/16/2022,Age_known,"252,374,534",99.9,99.9,"214,212,679",,,99.9,99.9,44.5,99.9,99.9,99.9,"92,153,309","1,925,808"
02/16/2022,Race_eth_NHAsian,"12,527,034",6.7,5,"11,314,287",65.9,59.6,6.8,5.3,64.5,8.3,6.6,9.5,"6,847,866","164,018"
02/16/2022,US,"252,400,057",,100,"214,218,580",76,64.5,,100,44.5,,100,,"92,153,309","1,925,808"
02/16/2022,Race_eth_NHBlack,"19,157,815",10.2,7.6,"16,601,963",46.5,40.3,10,7.8,40.9,8,10,11.9,"6,582,222","205,899"
02/16/2022,Ages_<12yrs,"9,259,279",3.7,3.7,"7,032,848",19.1,14.5,3.3,3.3,0,0,0,0,0,0
02/16/2022,Ages_65-74_yrs,"33,414,560",13.2,13.2,"29,003,616",95,91,13.5,13.5,64.2,20.2,14,9,"18,607,417","174,007"
02/16/2022,Ages_40-49_yrs,"34,797,034",13.8,13.8,"29,884,428",85.3,73.3,14,14,40.7,13.2,14.4,15.5,"12,152,069","298,256"
02/16/2022,Ages_25-39_yrs,"53,544,364",21.2,21.2,"44,670,905",78.3,65.3,20.9,20.9,32.8,15.9,21.6,22.5,"14,667,404","432,915"
02/16/2022,Age_unknown,"25,523",0,0,"5,901",,,0,0,0,0,0,0,0,0
02/16/2022,Race_eth_NHMult_Oth,"11,160,496",5.9,4.4,"9,897,376",95,95,6,4.6,52.4,6,5.9,6.3,"4,940,742","108,680"
02/16/2022,Sex_Female,"130,570,497",52.2,51.7,"111,498,330",77.5,66.2,52.4,52,46.6,54.7,52.5,55.3,"50,316,873","1,063,086"
02/16/2022,Race_eth_unknown,"64,800,719",34.5,25.7,"47,939,792",,,28.8,22.4,20.9,11.9,29.2,11.4,"9,794,365","197,305"
02/16/2022,Ages_16-17_yrs,"5,936,974",2.4,2.4,"5,076,863",70.8,60.5,2.4,2.4,25.2,1.4,2.5,3.8,"1,277,285","73,278"
02/16/2022,Race_eth_NHWhite,"104,067,268",55.5,41.2,"93,895,885",52.7,47.6,56.5,43.8,56.5,62.5,56.8,44.3,"51,484,026","764,991"
02/16/2022,Sex_known,"250,152,543",99.9,99.1,"212,693,882",,,99.9,99.3,44.7,99.9,99.9,99.9,"91,983,928","1,922,815"
02/16/2022,Ages_75+_yrs,"22,640,788",9,9,"19,532,694",95,85.3,9.1,9.1,67.9,14.4,9.4,5.5,"13,271,313","105,891"
02/16/2022,Race_eth_Hispanic,"38,370,315",20.5,15.2,"32,615,670",60.2,51.2,19.6,15.2,37.6,14.3,19.5,26.7,"11,736,151","462,072"
02/16/2022,Sex_Male,"119,582,046",47.8,47.4,"101,195,552",73.2,61.9,47.6,47.2,42.7,45.3,47.5,44.7,"41,667,055","859,729"
02/16/2022,Sex_unknown,"2,247,514",0.9,0.9,"1,524,698",,,0.7,0.7,11.2,0.2,0.7,0.2,"169,381","2,993"
02/15/2022,Age_known,"252,374,534",99.9,99.9,"214,212,679",,,99.9,99.9,44.5,99.9,99.9,99.9,"92,153,309","2,151,004"
02/15/2022,Race_eth_NHMult_Oth,"11,160,496",5.9,4.4,"9,897,376",95,95,6,4.6,52.4,6,5.9,6.3,"4,940,742","120,977"
02/15/2022,Ages_5-11_yrs,"9,218,594",3.7,3.7,"7,022,043",32.1,24.4,3.3,3.3,0,0,0,0,0,0
02/15/2022,Race_eth_NHWhite,"104,067,268",55.5,41.2,"93,895,885",52.7,47.6,56.5,43.8,56.5,62.5,56.8,44.4,"51,484,026","856,922"
02/15/2022,Ages_<5yrs,"35,379",0,0,"9,425",0.2,0,0,0,0,0,0,0,0,0
02/15/2022,US,"252,400,057",,100,"214,218,580",76,64.5,,100,44.5,,100,,"92,153,309","2,151,004"
02/15/2022,Age_unknown,"25,523",0,0,"5,901",,,0,0,0,0,0,0,0,0
02/15/2022,Race_eth_unknown,"64,800,719",34.5,25.7,"47,939,792",,,28.8,22.4,20.9,11.9,29.2,11.4,"9,794,365","220,986"
02/15/2022,Ages_50-64_yrs,"58,501,057",23.2,23.2,"50,853,507",91.9,79.9,23.7,23.7,49.8,27.5,24.5,24.6,"25,347,404","528,208"
02/15/2022,Ages_75+_yrs,"22,640,788",9,9,"19,532,694",95,85.3,9.1,9.1,67.9,14.4,9.4,5.6,"13,271,313","120,137"
02/15/2022,Race_eth_NHAsian,"12,527,034",6.7,5,"11,314,287",65.9,59.6,6.8,5.3,64.5,8.3,6.6,9.3,"6,847,866","180,149"
02/15/2022,Ages_12-15_yrs,"11,037,684",4.4,4.4,"9,341,556",65.3,55.2,4.4,4.4,16.8,1.7,4.5,8.9,"1,572,610","191,308"
02/15/2022,Ages_16-17_yrs,"5,936,974",2.4,2.4,"5,076,863",70.8,60.5,2.4,2.4,25.2,1.4,2.5,3.7,"1,277,285","80,332"
02/15/2022,Sex_Male,"119,582,046",47.8,47.4,"101,195,552",73.2,61.9,47.6,47.2,42.7,45.3,47.5,44.9,"41,667,055","963,586"
02/15/2022,Ages_40-49_yrs,"34,797,034",13.8,13.8,"29,884,428",85.3,73.3,14,14,40.7,13.2,14.4,15.5,"12,152,069","332,919"
02/15/2022,Ages_12-17_yrs,"16,974,658",6.7,6.7,"14,418,419",67.1,57,6.7,6.7,19.8,3.1,7,12.6,"2,849,895","271,640"
02/15/2022,Race_eth_NHBlack,"19,157,815",10.2,7.6,"16,601,963",46.5,40.3,10,7.8,40.9,8,10,11.9,"6,582,222","230,093"
02/15/2022,Race_eth_known,"187,592,226",99.9,74.3,"166,272,806",,,99.9,77.6,51.4,99.9,99.9,99.9,"82,358,944","1,930,018"
02/15/2022,Race_eth_NHNHOPI,"594,959",0.3,0.2,"533,632",64.1,57.5,0.3,0.2,40.7,0.3,0.3,0.4,"206,970","8,579"
02/15/2022,Sex_known,"250,152,543",99.9,99.1,"212,693,882",,,99.9,99.3,44.7,99.9,99.9,99.9,"91,983,928","2,147,550"
02/15/2022,Ages_25-39_yrs,"53,544,364",21.2,21.2,"44,670,905",78.3,65.3,20.9,20.9,32.8,15.9,21.6,22.5,"14,667,404","483,285"
02/15/2022,Ages_<12yrs,"9,259,279",3.7,3.7,"7,032,848",19.1,14.5,3.3,3.3,0,0,0,0,0,0
