"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"United States","USA","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","20535000000","20959000000","21616000000","23275000000","26484000000","27374800000","30404400000","31561400000","34564600000","37962000000","43218800000","44142600000","49812500000","71428700000","98597700000","107695000000","115105000000","121348000000","143814000000","182065000000","220913000000","233896000000","212441000000","200593000000","217998000000","213222000000","217426000000","252853000000","319109000000","363546000000","392743000000","421588000000","447215000000","465539000000","512207000000","583021000000","622662000000","687711000000","680522000000","690793000000","772147000000","731026000000","693255000000","723792000000","816546000000","904308000000","1036990000000","1162690000000","1300120000000","1056910000000","1277490000000","1482480000000","1545800000000","1578430000000","1620480000000","1504570000000","1453700000000","1545610000000","1664240000000","1641120000000","",
"United States","USA","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","3.75183822542366","4.1250641516366","3.49418505430138","3.50513775253345","3.26933921698858","3.54566254677117","3.09216193431342","3.01682199217479","3.744205093446","3.44293412487328","3.16971262813456","2.37808136509323","3.54514319364962","4.212468496815","3.72914030865486","3.54412359294581","2.77012812225569","3.24108226102482","3.73592035444143","4.53751586869299","6.17334460360361","4.91038812628473","4.41973450336194","4.85418230686114","3.97392020545445","3.17126748849486","","2.8238903031564","3.25140191503474","3.012912024288","2.61777454492857","2.21655716454674","1.84602214970637","1.89191251927575","2.07124626296476","1.91675770574592","1.56887699110576","1.52518599921472","1.84678858931191","1.88077482714846","1.83394389932985","2.10931027144065","2.5706533002655","3.31136445717427","3.7372185207955","3.96254139881437","6.48428929958545","5.80419140404513","7.18456859697087","9.92432615355966","10.063657372177","10.7639936765535","10.9856786837279","8.00341812992007","7.57865377522266","10.5104512931032","13.5299941370328","14.1993658855609","12.7159910119184",
"United States","USA","Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","TM.VAL.MRCH.R5.ZS","2.18914456393353","2.27593305630742","2.14005672577028","2.2966111380198","2.106731080509","2.0687036560191","1.72735239070619","1.45399901907243","1.26133718710495","1.26038712634339","1.02149089418516","0.966290613440672","0.959098033267607","0.834986794743743","0.721207552653328","0.757231130823761","0.774518998063891","0.681870594174806","0.727314745146936","0.682287240500182","0.623541310098024","0.660552270408443","0.784453710641002","1.05472382455477","1.02215279833305","0.933673229576503","0.90440357824637","0.964455395352676","1.00125276216658","1.04476550321993","1.01927607376203","1.07286817443753","1.24424546875905","1.31","1.3389191745411","1.32082885911263","1.3373666925069","1.43417308974055","1.53053955094406","1.49330459331604","1.48012113870382","1.49447960886991","1.61627897306243","1.60672177490405","1.5955148249392","1.65419713822302","1.7139172571905","1.73174249897144","1.70806882764925","1.94231620696321","2.08129585594374","2.13122850603501","2.2603424124994","2.35612898098635","2.43012137638009","2.56257566125104","2.66460050438977","2.59878673577585","2.63710087925183","2.84897040670029","",
"United States","USA","Import unit value index (2000 = 100)","TM.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","91","91","87","88","86","85","87","96","101","102","111","109","111","104","107","117","116","108","103","101","100","96.5","94.0999999999999","96.9","102.3","110","115.4","120.2","134.1","118.6","126.8","140.6","141","139.5","138","123.9","119.8","123.3","127.1","125.5","122.4",
"United States","USA","Binding coverage, all products (%)","TM.TAX.MRCH.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.98","99.96","99.96",
"United States","USA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18909000000","20424000000","20872000000","20094000000","20043000000","21445000000","19046000000","17790000000","17833000000","21562000000","23259000000","24881000000","27881000000","32065000000","26357000000","31506000000","36738000000","41192000000","42124000000","42482000000","37972000000","35683000000","37290000000","41262000000","40082000000","11393000000",
"United States","USA","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","",
"United States","USA","Population ages 75-79, male (% of male population)","SP.POP.7579.MA.5Y","1.52262656338568","1.52491304483696","1.52644236525292","1.53635814193035","1.55590959687736","1.57871787222058","1.58943702654216","1.59473721510068","1.5973058410973","1.59587875223022","1.58828746680872","1.58519187335662","1.57088698683476","1.55664152490852","1.55355782109596","1.56358537489139","1.57378338134818","1.62153853610517","1.71097812057226","1.81874801776342","1.91137125787787","1.91297841135211","1.88368634415972","1.8509797457927","1.83991254429805","1.8552264338156","1.87834662165809","1.91484077506094","1.96046084313938","2.0052090894246","2.04174035617977","2.04647684999926","2.04744782612756","2.05679796061845","2.08047270937465","2.11484918190655","2.13228227131174","2.15143901277463","2.1717346942709","2.18919220916261","2.20045334159768","2.1910195978316","2.17932349099993","2.17043386106477","2.16478498817863","2.16022906834912","2.13926055789478","2.11179886642484","2.08646003887608","2.07540681500845","2.08580107411718","2.10474332431997","2.14396056132428","2.19663885924873","2.25398023443828","2.31244531096651","2.35540467278389","2.39694938868892","2.44907815293887","2.52832191438559","2.64185313598445",
"United States","USA","Population ages 50-54, male (% of male population)","SP.POP.5054.MA.5Y","5.43991055209002","5.42012900854829","5.41820045573206","5.41914646590241","5.41358755203518","5.40324287643647","5.385376677749","5.37487216685156","5.37362659522599","5.38847892774671","5.42316741609777","5.44382136886086","5.47786941093336","5.51347486487009","5.5334803519797","5.52795962150278","5.45990658442631","5.36970391014842","5.26209743770585","5.1405102188174","5.00559527221138","4.87981571333267","4.75005650094382","4.63051344567549","4.54061918423415","4.49035176892225","4.46055018639165","4.47300746603066","4.51752964181468","4.57513211672748","4.63320111437573","4.67187633911261","4.7136927137447","4.7774830973856","4.88416784862106","5.03714655609203","5.20709262334344","5.42816923874986","5.68317110370376","5.93609732862083","6.15784895745068","6.33632217564705","6.4715441347293","6.57762500942605","6.67775776700992","6.78355785977559","6.87078786754112","6.9646041608846","7.0572656032554","7.13394517298555","7.18366661990286","7.18233573261858","7.16366176010478","7.12449620306773","7.06166999766553","6.97472123127886","6.86035316623749","6.7232638644751","6.57490714558807","6.43089296035648","6.30062031669419",
"United States","USA","Population ages 15-64, male (% of male population)","SP.POP.1564.MA.ZS","60.1706223898532","60.017334262866","60.0473083939574","60.211017765378","60.4417702735479","60.708375874041","60.9348351198148","61.197225172564","61.5053587452554","61.8687922250012","62.2884851484562","62.8447428167005","63.4002876873496","63.9672999457744","64.5571069363767","65.1645105627714","65.3904414567072","65.6662247943544","65.9587859595382","66.2274638398081","66.4550673397618","66.7030625467586","66.9197326903541","67.0939768473982","67.2246847079704","67.3136927982163","67.2516887432401","67.1699928555686","67.0776873597978","66.9896019152604","66.9164831644242","66.7360301868929","66.5936083398436","66.5049497744257","66.483411217637","66.5285174516519","66.5252999881633","66.6120173205714","66.758541068653","66.9235587292949","67.0866133356733","67.2307802166496","67.3330306739342","67.4280647772253","67.5580184171589","67.7302643015539","67.6963623081683","67.7169471222532","67.7533099857228","67.7515996953805","67.6894810469317","67.6039540796811","67.498364180454","67.3654210811618","67.2109241050275","67.0399868199102","66.8537256836091","66.6387612512319","66.4088716329403","66.17957827562","65.9531641577996",
"United States","USA","Population ages 00-04, male (% of male population)","SP.POP.0004.MA.5Y","11.4381657574772","11.3816762735344","11.1839079498871","10.8828231592049","10.5426197641903","10.213357205912","9.87073099169291","9.54336279803007","9.24541213937662","8.9766714097543","8.72431980651409","8.38807572435856","8.17771069358024","8.04827550755403","7.94837181034015","7.8483183575798","7.86495246651817","7.81311053070737","7.72025040490504","7.63469649514388","7.59641453243248","7.62110762633882","7.63579728849894","7.6522218605564","7.67448016277094","7.70932180494095","7.78002142570243","7.84062974200812","7.89314556170165","7.93583476042506","7.96659372226741","8.00011105430069","8.00133567068562","7.9715459514828","7.91266672464897","7.83547661924379","7.77070626412428","7.63455764674331","7.46708287060376","7.31699075599539","7.20725753008823","7.0537569869452","7.01971888404147","7.0580229474647","7.10312161391804","7.11841904407602","7.23697107234268","7.25067063825548","7.18652104580042","7.09043348508328","6.99951006124005","6.93015503773079","6.81262256967348","6.67385958327522","6.53840482312872","6.42208228065959","6.26994925869987","6.19046917674438","6.16244831397529","6.15333030446144","6.13914621380131",
"United States","USA","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","66.5","","","","","67.6","","","69.6","","79","67.7","","","","","","69.7","","","","","","74.3","","70.7","","","","","76.4","","","","","","","72.8","","","","","77.1","76.4","76.4","76.4","","74.1","","72.7","","75.9","","73.9","73.9","",
"United States","USA","Net migration","SM.POP.NETM","","","1835728","","","","","1556054","","","","","2889346","","","","","3770881","","","","","3382460","","","","","3366853","","","","","4463754","","","","","8859954","","","","","5334893","","","","","5428756","","","","","4961716","","","","","4774029","","","",
"United States","USA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6000003814697","12.039999961853","11.3900003433228","10.3400001525879","9.52999973297119","9.3100004196167","8.67000007629395","9.67000007629395","10.1099996566772","10.3199996948242","9.88000011444092","8.80000019073486","8.13000011444092","7.94999980926514","10.460000038147","14.8500003814697","15.2700004577637","13.6000003814697","12.7399997711182","10.8100004196167","8.84000015258789","7.76000022888184","7.48999977111816","6.55000019073486","5.86999988555908","5.40000009536743","11.7200002670288",
"United States","USA","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8199996948242","38.2700004577637","38.1500015258789","36.9500007629395","38.5","35.7900009155273","34.3499984741211","35.3699989318848","35.0699996948242","35.310001373291","35.5699996948242","34.9099998474121","34.5099983215332","34.2099990844727","34.1800003051758","37.8699989318848","35.9599990844727","35.7900009155273","34.9799995422363","34.0900001525879","34.6500015258789","35.0200004577637","33.439998626709","33.5900001525879","32.0900001525879","31.3700008392334","34.1800003051758",
"United States","USA","Labor force with advanced education, male (% of male working-age population with advanced education)","SL.TLF.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4700012207031","86.1100006103516","85.5100021362305","85.3600006103516","85.2699966430664","84.8300018310547","84.5500030517578","84.5599975585938","84.0999984741211","83.2200012207031","83.0199966430664","83.0100021362305","82.8600006103516","82.7799987792969","82.379997253418","81.7600021362305","81.1100006103516","80.6500015258789","80.25","79.5500030517578","78.9300003051758","78.5999984741211","78.3399963378906","77.8099975585938","77.5899963378906","77.5100021362305","76.1500015258789",
"United States","USA","Children in employment, work only, female (% of female children in employment, ages 7-14)","SL.TLF.0714.WK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.9800033569336","91.3000030517578","91.1800003051758","91.1999969482422","91.4400024414063","91.5599975585938","91.7300033569336","92.0599975585938","92.3399963378906","92.4400024414063","92.5199966430664","92.6399993896484","92.4300003051758","92.4300003051758","92.5299987792969","92.5999984741211","92.7799987792969","92.9800033569336","92.9100036621094","92.9599990844727","93.1800003051758","93.25","93.4100036621094","93.5500030517578","93.5599975585938","93.6100006103516","93.75","93.7200012207031","93.9100036621094","",
"United States","USA","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5699999332428","3.4300000667572","3.48000001907349","3.51999998092651","3.42000007629395","3.35999989509583","3.28999996185303","3.17000007629395","3.04999995231628","3.00999999046326","2.97000002861023","2.91000008583069","2.97000002861023","2.97000002861023","2.91000008583069","2.88000011444092","2.78999996185303","2.69000005722046","2.70000004768372","2.65000009536743","2.54999995231628","2.50999999046326","2.44000005722046","2.38000011444092","2.35999989509583","2.33999991416931","2.27999997138977","2.27999997138977","2.20000004768372","",
"United States","USA","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.53","","","","","73.95","","",
"United States","USA","Poverty gap at $3.20 a day (2011 PPP) (%)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","0.5","","","","","0.5","","","","","","","0.5","","","","","0.4","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.6","0.6","0.8","0.7","0.9","0.9","0.9","0.9","0.9","1","0.8","1","0.9","1","0.9","1.1","1","1","1.1","1","","",
"United States","USA","Out-of-pocket expenditure per capita, PPP (current international $)","SH.XPD.OOPC.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","686.62151205","705.28753947","762.5962857","811.11510812","852.25705342","898.34040319","933.97392174","976.16848104","988.03665994","968.01501595","975.35970098","995.65089497","1028.71819869","1044.27823973","1066.66680535","1102.62153345","1137.02489103","1151.94492299","1188.60848495","1235.33881484","",
"United States","USA","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.25.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.911210119724274","0.811660587787628","0.966672718524933","1.04221427440643","1.07759761810303","1.01180744171143","0.99248468875885","0.949145376682281","0.892695903778076","0.973415493965149","0.824999272823334","","0.723792731761932","0.727770090103149","","0.854988098144531","0.85646641254425","0.780771672725677","0.740817964076996","0.772701740264893","0.663426101207733","","","0.756090104579926","",
"United States","USA","Prevalence of severe wasting, weight for height, male (% of children under 5)","SH.SVR.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","0.2","","0.1","","0.1","","0.1","","0.1","","0","","0","","0","","0","","0","","",
"United States","USA","People using safely managed sanitation services, rural (% of rural population)","SH.STA.SMSS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Prevalence of underweight, weight for age, male (% of children under 5)","SH.STA.MALN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","","","","","1.3","","1.4","","1.5","","1","","0.9","","1.1","","0.5","","0.8","","1.6","","0.5","","",
"United States","USA","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","SH.STA.AIRP.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","",
"United States","USA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.1","","","","","1.2","","","","","1.2","","","","","1.3","1.3","1.3","1.4","1.4","1.5","1.5","1.6","1.6","","","1.7","1.8","1.8","1.8","1.8","1.9","1.9","1.9","","2.4385","","","","","2.5942","","","","2.7147","","","","","","","","","","","","","","2.6036","","",
"United States","USA","Prevalence of HIV, male (% ages 15-24)","SH.HIV.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","",
"United States","USA","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","30.1","29.5","28.9","28.3","27.7","27.1","26.4","25.7","24.9","24.1","23.2","22.4","21.5","20.6","19.7","18.8","17.9","17.1","16.3","15.6","15","14.4","13.9","13.4","13","12.7","12.4","12.1","11.9","11.6","11.2","10.9","10.5","10.1","9.8","9.5","9.2","8.9","8.8","8.6","8.4","8.3","8.2","8.1","8.1","8","7.9","7.7","7.6","7.5","7.3","7.2","7.1","7","6.9","6.8","6.7","6.6","6.5","6.4","6.3",
"United States","USA","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3974","3954","3942","3930","3912","3870","3821","3748","3653","3542","3423","3315","3199","3071","2937","2809","2714","2631","2564","2507","2452","2406","2387","2393","2413","2437","2454","2452","2432","2400","2363",
"United States","USA","Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)","SG.TIM.UWRK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.875","9.79167","9.66667","9.58333","9.95833","9.41667","9.75","9.875","9.66667","9.33333","9.70833","9.70833","9.75","9.79167","9.875","9.54167","9.66667","",
"United States","USA","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","SE.XPD.CSEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.9320373535156","91.4302597045898","90.9884033203125","90.4928283691406","","",
"United States","USA","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6606597900391","31.9557991027832","32.5007591247559","33.4396896362305","","34.9924697875977","","37.5242881774902",
